   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,ass,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
Bowling Green Inn,Brandywine,1375 Newark Road,,Kennett Square,PA,19348,,Chester,610-268-3588,,610-268-1130,,http://www.bowlinggreenbrandywine.com,39.8495062,-75.7685358,SA,2018-05-01 11:23:57.432,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,,,1,1,1,1,1,,,1,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,,,1,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,1,,,,1,,,,1,1,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,1,,,1,,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Valley Forge Medical Ctr and Hosptial,,1033 West Germantown Pike,,Norristown,PA,19403,,Montgomery,610-539-8500,,610-539-8500 x382,,http://www.vfmc.net,40.158226,-75.368069,SA,2017-02-01 17:30:00,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,,,,1,1,,1,,,,,,,,,1,,1,1,1,,,,,,1,1,1,1,1,,,1,,,,1,,,,,,,,,,,,1,1,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,1,1,,,1,,,1,1,1,1,1,1,,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathway Counseling Services,,811 West Chester Pike,,West Chester,PA,19382,,Chester,610-269-8396,,,,http://www.pathwaycounselingserv.com,39.9665070037765,-75.5888975822091,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,1,,,,,,,,,1,1,,,,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,Outpatient West Chester,110 Westtown Road,Suite 115,West Chester,PA,19382,,Chester,610-429-1414,,,,http://www.gaudenzia.org,39.9636691,-75.5915466,SA,2017-03-17 11:32:57,1,,,,,,,,1,,,1,,,,,,,,,,1,,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1,,1,1,1,,1,,1,,1,1,1,1,1,,,1,,1,,,,,,,,1,1,1,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MedMark Treatment Centers,Blairsville,1984 U.S. Highway 22,,Blairsville,PA,15717,,Indiana,724-459-4884,,,,http://medmark.com/,40.4405904,-79.2554591,SA,2018-03-09 12:55:15.279,1,,1,,,1,,,,1,,,1,,,,,,,1,1,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,1,,,,1,,,,,1,,,1,1,1,,,1,,1,1,1,,,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NHS Montgomery County,,400 North Broad Street,,Lansdale,PA,19446,,Montgomery,215-368-2022,,,,http://www.nhsonline.org,40.243919,-75.281736,SA,2017-02-01 17:30:00,1,,,,,1,,,1,1,1,,,,,,,,,,,1,,1,1,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,1,,1,1,1,1,,,,1,,,,,,1,1,,1,,,,1,1,,,,,,1,,1,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rehab After Work,,1440 Russell Road,,Paoli,PA,19301,,Chester,610-889-9939 x1550,,800-238-4357,,http://rehabafterwork.pyramidhealthcarepa.com/,40.0432102,-75.4623743,SA,2018-05-03 12:07:43.059,1,,,,,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,1,,1,1,,1,,1,,1,1,1,1,1,,,,,,,1,,1,1,1,1,,,1,1,1,1,,1,,,1,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvern Institute,Berwyn,1161 East Lancaster Avenue,,Berwyn,PA,19312,,Chester,610-647-0330,,610-647-0330 x627,,http://www.malverninstitute.com,40.0433016,-75.4525075,SA,2017-03-21 12:50:57,1,,,,,1,1,,1,1,,1,,,,,,,,,,1,,1,1,1,,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,1,,,,1,1,,1,,,,1,1,1,,1,1,,1,,1,,,1,1,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Rehab After Work,,1107 East Main Street,,Lansdale,PA,19446,,Montgomery,215-361-7120,Intakes,610-644-6464,800-238-4357,http://lifemgmt.org,40.2292189,-75.2625744,SA,2017-03-13 13:10:37,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,1,,1,,,,,,,,1,,,,,,,1,,1,1,1,1,1,,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,,,,,,,,1,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Rehab After Work,,1420 Walnut Street,Suite 500,West Chester,PA,19382,,Chester,215-546-2200,,,610-644-6464,http://www.rehabafterwork.com,39.9364883,-75.5856977,SA,2018-05-22 12:14:39.91,1,,,,,,,,1,1,1,1,,,,,,,,,,1,1,1,1,1,,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,,,1,1,1,,,1,,,,1,1,,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,1,,1,1,,1,,1,,1,1,1,1,1,,,1,,,,1,,1,1,1,1,,,,1,1,1,,1,,,,,,,,1,1,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,Kindred House,1030 South Concord Road,,West Chester,PA,19382,,Chester,610-399-6571,,,610-908-2408,http://www.gaudenzia.org,39.938151,-75.571917,SA,2017-02-01 17:30:00,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,1,,,1,,,1,,,,,1,1,,1,1,,,1,1,,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,1,,1,1,1,,,,,,1,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,1,,1,1,,1,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holcomb Associates Inc,,920 East Baltimore Pike,,Kennett Square,PA,19348,,Chester,610-388-7400,,,,http://www.holcomb.org,39.8645318,-75.6763347,SA,2017-02-01 17:30:00,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,1,1,,1,,,,,,1,1,,,1,,,1,,,,1,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,,,,1,,,,1,1,1,1,,,,,1,1,,,,1,1,1,1,,,,1,1,1,,,1,1,1,,1,,1,1,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,West Chester House,1030 South Concord Road,,West Chester,PA,19382,,Chester,610-399-6929 x2500,Intakes,800-355-0654,610-399-6929,http://www.gaudenzia.org,39.9362219449967,-75.5703536186125,SA,2017-02-01 17:30:00,1,,,,,,,,1,,1,1,,,,,,1,,,,1,1,1,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,,1,1,,1,1,1,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,,,,1,,,,,1,,1,1,1,1,,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Centers of America at,Devon/IP,235 West Lancaster Avenue,,Devon,PA,19333,,Chester,800-732-6837,,,,http://,40.045248,-75.4279449,SA,2018-08-06 09:05:11.224,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,,,1,,,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,1,,,1,1,,,,,1,,1,1,,,1,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,1,,,,1,,,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudenzia Inc,Montgomery County Outpatient,166 West Main Street,"2nd Floor, Rear",Norristown,PA,19401,,Montgomery,610-279-4262 x2350,,610-279-4262,,http://www.gaudenzia.org,40.1154269,-75.347461,SA,2017-11-16 12:13:13.697,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,1,,,1,1,1,1,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Central Behavioral Health,Substance Abuse Services,1201 Dekalb Street,,Norristown,PA,19401,,Montgomery,610-279-9270 x506,Intakes,610-279-9270 x212,610-279-9270 x215,http://www.centralbh.org/,40.1218991,-75.3361142,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,1,1,,1,,,,1,1,,1,,,,1,,,,,,1,1,1,1,,,,1,1,,,,,,1,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Family House,Norristown,901 Dekalb Street,,Norristown,PA,19401,,Montgomery,610-278-0700,,,610-278-0701,http://www.rhd.org,40.1192368638072,-75.3387350736682,SA,2017-02-01 17:30:00,1,,,,,,,,,1,,,,,,,,1,,,,1,,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,,,,,,,,1,1,1,,1,1,,,1,1,,1,1,1,1,,1,,,,,,,,1,1,1,1,1,,,1,1,,,1,1,,1,1,1,,,,,,1,,,,,,1,,1,1,1,,1,,,1,1,,,,1,1,1,1,,,1,1,1,1,,1,1,,1,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County Methadone Ctr,,316 Dekalb Street,,Norristown,PA,19401,,Montgomery,610-272-3710 x201,Intakes,610-272-3710 x204,610-272-3710 x216,http://,40.1139746,-75.3419809,SA,2018-03-30 15:15:28.858,1,,1,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,,1,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,1,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldie Counseling Center,,11 Welden Drive,,Doylestown,PA,18901,,Bucks,215-345-8530 x110,Intakes,215-345-8530 x101,215-345-8530 x129,http://www.aldie.org,40.3340097,-75.1442746,SA,2017-10-03 12:55:00.626,1,,1,,,1,,,1,1,,1,1,,,,,,,,1,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,1,,,1,,,,,,,1,,,,,1,,,1,1,1,,,1,1,1,1,,,,,,1,,1,1,1,1,,1,,1,,1,,1,,1,1,1,1,1,,,,,1,,,,,1,,1,1,1,1,,,,,,,,1,,1,1,1,1,,1,,,1,1,,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Social Services,,10 Buist Road,,Milford,PA,18337,,Pike,570-296-1054,,,,http://www.cssdioceseofscranton.org,41.335122,-74.8339414,SA,2018-05-07 15:51:44.87,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,1,,1,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,,,,,,,,1,,1,1,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Council Of Southeast PA,,4459 West Swamp Road,,Doylestown,PA,18902,,Bucks,215-230-8715 x3161,,,,http://www.councilsepa.org/,40.3330746,-75.1365441,SA,2018-05-09 12:26:14.859,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,,,,1,,,,,,,1,,1,1,1,,,1,,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,,1,,,,1,,,,1,1,,,,,1,1,,,,,1,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong County Council on Alc and,Other Drugs/ARC Manor,200 Oak Avenue,,Kittanning,PA,16201,,Armstrong,724-548-7607 x222,Intakes,724-548-7607,800-323-1333,http://www.arcmanor.org,40.8194166310981,-79.5182849211499,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,1,1,1,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,,1,1,1,,1,,1,,1,1,,,1,,1,1,,1,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Family Services,,314 South Water Street,,Kittanning,PA,16201,,Armstrong,724-545-7867,,,,http://,40.810615,-79.5174417,SA,2018-08-06 09:05:50.068,1,,,,,,,,1,,1,1,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,1,,,,,,,,,,1,,,,,,,1,,,1,1,1,,1,1,,,,,1,,,,1,,,,,,,,1,1,,,1,,,,,,,,,,1,,1,1,,1,,1,1,1,1,1,,1,,1,1,1,1,1,,,,,1,,,1,,,,1,1,,1,,,,1,,,,,,1,1,,1,,,,1,1,1,,,,1,1,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Family ACTS Inc,,837 5th Avenue,,Ford City,PA,16226,,Armstrong,724-763-7600,Intakes,724-763-7600 x221,724-763-7600 x224,http://,40.769336,-79.531147,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,1,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,1,,,1,,,,1,1,1,1,,1,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Summit IOP Limited,,702 Hyde Park Street,,Doylestown,PA,18902,,Bucks,215-589-7111,,,,http://summithelps.com,40.3192909,-75.094477,SA,2018-06-20 09:49:01.891,1,,,,,,,,1,,1,1,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,,,,1,1,1,1,,1,,,1,1,1,1,,,,,,,1,,1,1,1,1,,,1,1,1,1,,1,,,1,,,1,1,1,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Horsham Clinic,,722 East Butler Pike,,Ambler,PA,19002,,Montgomery,215-643-7800,Intakes,215-643-7800 x4447,800-237-4447 x4447,http://www.horshamclinic.com,40.1875206,-75.1893052,SA,2017-03-13 13:00:20,1,1,,,,1,1,1,1,1,1,1,,,,1,,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,1,1,,,,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,,1,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,
Mirmont Treatment Center,,100 Yearsley Mill Road,,Glen Riddle Lima,PA,19037,,Delaware,484-227-1400 x1418,Intakes,484-227-1453,484-227-1400,http://www.mainlinehealth.org/mirmont,39.9242214,-75.4467304,SA,2017-07-31 15:33:43.438,1,1,,,,,,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,1,,,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,,1,,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,1,1,,,1,,1,1,1,1,1,,,,1,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,,1,1,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lower Merion Counseling Services,,850 West Lancaster Avenue,2nd Floor,Bryn Mawr,PA,19010,,Delaware,610-520-1510 x221,,610-520-1510 x184,,http://www.rhd.org/lmcs,40.022242,-75.319953,SA,2017-02-01 17:30:00,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,1,,,1,,,,1,,,,,1,,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,1,1,1,,1,,,,1,,,,,,,,1,,1,1,,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,,,,,,,1,1,1,1,,1,,1,,,,,,1,1,1,1,,,,1,1,1,,,,,1,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livengrin Counseling Center,,550 Pinetown Road,Suite 150,Fort Washington,PA,19034,,Montgomery,215-638-5200,,,,http://www.livengrin.org/,40.1409307,-75.1948919,SA,2018-03-09 14:12:59.024,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,,,,,,,,1,,,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Lakes Center for,Drug and Alcohol Rehabilitation,224 Twin Lake Road,,Somerset,PA,15501,,Somerset,814-443-3639,,,800-452-0218,http://www.twinlakescenter.org,40.0379593,-79.0921502,SA,2017-02-01 17:30:00,1,1,,,,,,1,1,1,1,1,,,,,,,,,,1,1,1,1,,,1,,,1,1,1,,1,,1,1,1,1,,,1,1,,,,,,,,,1,,1,,,,,,,,1,1,,1,1,,,1,,,1,,,,,,,,,1,,,,1,1,,,,,,,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,1,,,,1,,,1,,1,1,1,1,,,1,,1,1,,1,1,1,,,1,1,,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Womanspace,Ardmore,120 Ardmore Avenue,,Ardmore,PA,19003,,Montgomery,610-649-8136,,,,http://www.rhd.org,40.00717,-75.297278,SA,2018-08-06 09:08:06.157,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,,,1,1,1,,,,,,1,,,1,,1,,,1,1,1,,1,,1,1,1,,,,1,,1,1,,,1,1,1,1,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Family and Community Service of,Delaware County,600 North Olive Street,,Media,PA,19063,,Delaware,610-566-7540 x227,,610-566-7540,,http://www.fcsdc.org,39.9241541,-75.3896554,SA,2018-02-01 14:27:05.296,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,,,,1,,,1,,,,,1,,1,,1,1,,1,,1,,,1,,1,1,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Focus Psychological Associates Inc,,206 South Orange Street,Suite 5,Media,PA,19063,3679,Delaware,610-566-4330,,,,http://www.focus-psych.com,39.917201,-75.393656,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,,1,,,1,1,1,1,,,1,,1,,,,,,,1,1,1,1,,,,,,,,1,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beal Counseling and Consulting,,445 Westridge Road,Suite 103,Somerset,PA,15501,,Somerset,814-444-9696,,,,http://www.bealcounseling.com,40.011138,-79.105114,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,1,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,1,,1,,,1,,,,1,1,,1,,1,,1,1,1,,1,,1,,1,1,,,1,1,1,1,,,1,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mirmont Outpatient Center,Main Line Health,600 Abbott Drive,,Broomall,PA,19008,4317,Delaware,484-476-1800,,888-227-3898,,http://www.mainlinehealth.org,39.960546,-75.3374853,SA,2017-12-05 10:55:23.404,1,,,,,1,,,1,1,1,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,,1,,1,1,,1,,1,,,1,1,1,1,,,,1,,,1,,1,1,,1,,,,1,1,1,,1,,,,,,,,1,,,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
SPHS Behavioral Health,Latrobe Area Office,1100 Ligonier Street,Lower Level,Latrobe,PA,15650,,Westmoreland,724-532-1700,,,,http://www.sphs.org,40.3153042741216,-79.3832384208804,SA,2017-02-01 17:30:00,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,1,,1,1,1,1,,,,,,,,,,1,1,,1,,,,1,1,,,,,,,,,,,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
